NHGISCODE,GJOIN1970,GJOIN1980,GJOIN1990,GJOIN2000,GJOIN2012,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,TRACTA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2012,B69AA1970,B69AA1980,B69AA1990,B69AA2000,B69AA125,B69AA125M,B69AB1970,B69AB1980,B69AB1990,B69AB2000,B69AB125,B69AB125M,B69AC1970,B69AC1980,B69AC1990,B69AC2000,B69AC125,B69AC125M
NHGIS Integrated Geographic Unit Code,"GIS Join Match Code, 1970","GIS Join Match Code, 1980","GIS Join Match Code, 1990","GIS Join Match Code, 2000","GIS Join Match Code, 2012",NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,NHGIS Integrated County Name,FIPS County Code,NHGIS Integrated County Code,NHGIS Integrated Census Tract Code,"Area Name, 1970","Area Name, 1980","Area Name, 1990","Area Name, 2000","Area Name, 2012",1970: Persons: 25 years and over ~ Less than 9th grade,1980: Persons: 25 years and over ~ Less than 9th grade,1990: Persons: 25 years and over ~ Less than 9th grade,2000: Persons: 25 years and over ~ Less than 9th grade,2008-2012: Persons: 25 years and over ~ Less than 9th grade,Margin of error: 2008-2012: Persons: 25 years and over ~ Less than 9th grade,1970: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1980: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1990: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2000: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2008-2012: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1970: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),1980: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),1990: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),2000: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),2008-2012: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990)
"G4100010950100",,,"G41000109501","G4100010950100","G4100010950100","Oregon","41","410","Baker County","001","0010","950100",,,"BNA 9501","Census Tract 9501","Census Tract 9501, Baker County, Oregon",,,114,65,12,32,,,1284,1581,1688,189,,,272,423,528,108
"G4100010950200",,,"G41000109502","G4100010950200","G4100010950200","Oregon","41","410","Baker County","001","0010","950200",,,"BNA 9502","Census Tract 9502","Census Tract 9502, Baker County, Oregon",,,155,134,84,76,,,1483,1701,1523,215,,,255,359,487,107
"G4100010950300",,,"G41000109503","G4100010950300","G4100010950300","Oregon","41","410","Baker County","001","0010","950300",,,"BNA 9503","Census Tract 9503","Census Tract 9503, Baker County, Oregon",,,162,112,127,61,,,1460,1581,1327,175,,,161,208,243,98
"G4100010950400",,,"G41000109504","G4100010950400","G4100010950400","Oregon","41","410","Baker County","001","0010","950400",,,"BNA 9504","Census Tract 9504","Census Tract 9504, Baker County, Oregon",,,172,130,33,36,,,1397,1645,1845,240,,,200,315,373,117
"G4100010950500",,,"G41000109505","G4100010950500","G4100010950500","Oregon","41","410","Baker County","001","0010","950500",,,"BNA 9505","Census Tract 9505","Census Tract 9505, Baker County, Oregon",,,89,145,67,39,,,1449,1341,1612,208,,,295,333,428,122
"G4100010950600",,,"G41000109506","G4100010950600","G4100010950600","Oregon","41","410","Baker County","001","0010","950600",,,"BNA 9506","Census Tract 9506","Census Tract 9506, Baker County, Oregon",,,149,95,46,34,,,1131,1263,1022,137,,,202,281,368,83
"G4100010990100",,"G41000109901",,,,"Oregon","41","410","Baker County","001","0010","990100",,"State: 41 County: 001 Tract: 9901",,,,,482,,,,,,1909,,,,,,231,,,,
"G4100010990200",,"G41000109902",,,,"Oregon","41","410","Baker County","001","0010","990200",,"State: 41 County: 001 Tract: 9902",,,,,313,,,,,,1493,,,,,,290,,,,
"G4100010990300",,"G41000109903",,,,"Oregon","41","410","Baker County","001","0010","990300",,"State: 41 County: 001 Tract: 9903",,,,,260,,,,,,771,,,,,,192,,,,
