NHGISCODE,GJOIN1970,GJOIN1980,GJOIN1990,GJOIN2000,GJOIN2012,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,TRACTA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2012,BS7AA1970,BS7AA1980,BS7AA1990,BS7AA2000,BS7AA125,BS7AA125M,BS7AB1970,BS7AB1980,BS7AB1990,BS7AB2000,BS7AB125,BS7AB125M,BS7AC1970,BS7AC1980,BS7AC1990,BS7AC2000,BS7AC125,BS7AC125M,BS7AD1970,BS7AD1980,BS7AD1990,BS7AD2000,BS7AD125,BS7AD125M
G4100010950100,,,G41000109501,G4100010950100,G4100010950100,Oregon,41,410,Baker County,1,10,950100,,,BNA 9501,Census Tract 9501,"Census Tract 9501, Baker County, Oregon",,,151,109,113,70,,,119,116,56,29,,,194,156,108,48,,,513,799,967,152
G4100010950200,,,G41000109502,G4100010950200,G4100010950200,Oregon,41,410,Baker County,1,10,950200,,,BNA 9502,Census Tract 9502,"Census Tract 9502, Baker County, Oregon",,,240,130,121,69,,,154,93,193,88,,,218,259,185,60,,,547,755,790,155
G4100010950300,,,G41000109503,G4100010950300,G4100010950300,Oregon,41,410,Baker County,1,10,950300,,,BNA 9503,Census Tract 9503,"Census Tract 9503, Baker County, Oregon",,,264,154,117,49,,,88,143,94,49,,,269,245,170,79,,,438,642,719,150
G4100010950400,,,G41000109504,G4100010950400,G4100010950400,Oregon,41,410,Baker County,1,10,950400,,,BNA 9504,Census Tract 9504,"Census Tract 9504, Baker County, Oregon",,,265,146,152,65,,,148,143,179,86,,,297,214,236,102,,,399,797,826,163
G4100010950500,,,G41000109505,G4100010950500,G4100010950500,Oregon,41,410,Baker County,1,10,950500,,,BNA 9505,Census Tract 9505,"Census Tract 9505, Baker County, Oregon",,,189,147,72,33,,,85,73,90,67,,,231,228,198,75,,,496,567,773,151
G4100010950600,,,G41000109506,G4100010950600,G4100010950600,Oregon,41,410,Baker County,1,10,950600,,,BNA 9506,Census Tract 9506,"Census Tract 9506, Baker County, Oregon",,,211,159,94,43,,,143,115,75,36,,,222,213,164,47,,,293,490,582,107
G4100010990100,,G41000109901,,,,Oregon,41,410,Baker County,1,10,990100,,State: 41 County: 001 Tract: 9901,,,,,735,,,,,,269,,,,,,359,,,,,,314,,,,
G4100010990200,,G41000109902,,,,Oregon,41,410,Baker County,1,10,990200,,State: 41 County: 001 Tract: 9902,,,,,376,,,,,,181,,,,,,417,,,,,,292,,,,
G4100010990300,,G41000109903,,,,Oregon,41,410,Baker County,1,10,990300,,State: 41 County: 001 Tract: 9903,,,,,255,,,,,,167,,,,,,181,,,,,,183,,,,
G4100030000100,,G41000300001,G41000300001,G4100030000100,G4100030000100,Oregon,41,410,Benton County,3,30,100,,State: 41 County: 003 Tract: 1,Tract 1,Census Tract 1,"Census Tract 1, Benton County, Oregon",,415,329,214,199,97,,296,136,189,198,108,,557,499,337,392,129,,314,896,1482,2063,313
G4100030000200,,G41000300002,G41000300002,G4100030000200,,Oregon,41,410,Benton County,3,30,200,,State: 41 County: 003 Tract: 2,Tract 2,Census Tract 2,,,106,83,102,,,,66,40,100,,,,169,74,157,,,,291,627,1402,,
G4100030000202,,,,,G4100030000202,Oregon,41,410,Benton County,3,30,202,,,,,"Census Tract 2.02, Benton County, Oregon",,,,,249,138,,,,,119,104,,,,,246,119,,,,,1695,272
G4100030000300,,G41000300003,G41000300003,G4100030000300,,Oregon,41,410,Benton County,3,30,300,,State: 41 County: 003 Tract: 3,Tract 3,Census Tract 3,,,154,56,38,,,,97,83,47,,,,277,152,104,,,,310,558,1000,,
G4100030000400,,G41000300004,G41000300004,G4100030000400,G4100030000400,Oregon,41,410,Benton County,3,30,400,,State: 41 County: 003 Tract: 4,Tract 4,Census Tract 4,"Census Tract 4, Benton County, Oregon",,261,174,198,314,122,,174,74,48,112,78,,537,266,247,231,116,,938,1917,2464,2561,324
G4100030000500,,G41000300005,G41000300005,G4100030000500,G4100030000500,Oregon,41,410,Benton County,3,30,500,,State: 41 County: 003 Tract: 5,Tract 5,Census Tract 5,"Census Tract 5, Benton County, Oregon",,112,51,42,88,60,,86,95,30,32,23,,237,114,50,57,40,,533,923,1113,1090,160
G4100030000600,,G41000300006,G41000300006,G4100030000600,G4100030000600,Oregon,41,410,Benton County,3,30,600,,State: 41 County: 003 Tract: 6,Tract 6,Census Tract 6,"Census Tract 6, Benton County, Oregon",,411,255,156,257,132,,293,162,201,73,53,,376,364,294,493,152,,209,724,1375,1332,243
G4100030000700,,G41000300007,G41000300007,G4100030000700,,Oregon,41,410,Benton County,3,30,700,,State: 41 County: 003 Tract: 7,Tract 7,Census Tract 7,,,445,274,184,,,,70,82,101,,,,77,144,144,,,,55,113,203,,
G4100030000800,,G41000300008,G41000300008,,,Oregon,41,410,Benton County,3,30,800,,State: 41 County: 003 Tract: 8,Tract 8,,,,0,808,,,,,0,262,,,,,0,428,,,,,0,504,,,
G4100030000801,,,,G4100030000801,,Oregon,41,410,Benton County,3,30,801,,,,Census Tract 8.01,,,,,148,,,,,,120,,,,,,152,,,,,,447,,
G4100030000802,,,,G4100030000802,,Oregon,41,410,Benton County,3,30,802,,,,Census Tract 8.02,,,,,428,,,,,,151,,,,,,191,,,,,,325,,
G4100030000900,,G41000300009,G41000300009,G4100030000900,G4100030000900,Oregon,41,410,Benton County,3,30,900,,State: 41 County: 003 Tract: 9,Tract 9,Census Tract 9,"Census Tract 9, Benton County, Oregon",,469,438,181,158,92,,332,140,167,38,37,,347,282,265,175,83,,680,1177,1699,1892,285
G4100030001000,,G41000300010,G41000300010,,,Oregon,41,410,Benton County,3,30,1000,,State: 41 County: 003 Tract: 10,Tract 10,,,,921,567,,,,,536,371,,,,,654,572,,,,,716,1422,,,
G4100030001001,,,,G4100030001001,G4100030001001,Oregon,41,410,Benton County,3,30,1001,,,,Census Tract 10.01,"Census Tract 10.01, Benton County, Oregon",,,,296,263,119,,,,154,127,62,,,,350,324,125,,,,985,1055,183
G4100030001002,,,,G4100030001002,G4100030001002,Oregon,41,410,Benton County,3,30,1002,,,,Census Tract 10.02,"Census Tract 10.02, Benton County, Oregon",,,,80,140,68,,,,68,30,24,,,,220,172,89,,,,884,903,164
G4100030001100,,G41000300011,G41000300011,,,Oregon,41,410,Benton County,3,30,1100,,State: 41 County: 003 Tract: 11,Tract 11,,,,1782,1326,,,,,571,432,,,,,649,548,,,,,250,865,,,
G4100030001101,,,,G4100030001101,G4100030001101,Oregon,41,410,Benton County,3,30,1101,,,,Census Tract 11.01,"Census Tract 11.01, Benton County, Oregon",,,,386,442,95,,,,225,151,68,,,,214,217,93,,,,431,342,107
G4100030001102,,,,G4100030001102,G4100030001102,Oregon,41,410,Benton County,3,30,1102,,,,Census Tract 11.02,"Census Tract 11.02, Benton County, Oregon",,,,502,774,188,,,,202,184,95,,,,295,263,124,,,,940,662,172
G4100030010100,,G41000300101,G41000300101,G4100030010100,G4100030010100,Oregon,41,410,Benton County,3,30,10100,,State: 41 County: 003 Tract: 101,Tract 101,Census Tract 101,"Census Tract 101, Benton County, Oregon",,0,90,31,68,53,,0,67,0,38,35,,0,224,219,59,42,,0,1628,2262,2991,345
G4100030010200,,G41000300102,G41000300102,G4100030010200,G4100030010200,Oregon,41,410,Benton County,3,30,10200,,State: 41 County: 003 Tract: 102,Tract 102,Census Tract 102,"Census Tract 102, Benton County, Oregon",,273,154,29,60,37,,141,94,34,50,29,,343,218,151,62,33,,357,755,1108,1382,192
G4100030010300,,G41000300103,G41000300103,G4100030010300,G4100030010300,Oregon,41,410,Benton County,3,30,10300,,State: 41 County: 003 Tract: 103,Tract 103,Census Tract 103,"Census Tract 103, Benton County, Oregon",,294,105,72,68,39,,133,165,100,51,34,,402,237,105,154,49,,322,666,954,1036,150
G4100030010400,,G41000300104,G41000300104,G4100030010400,G4100030010400,Oregon,41,410,Benton County,3,30,10400,,State: 41 County: 003 Tract: 104,Tract 104,Census Tract 104,"Census Tract 104, Benton County, Oregon",,383,131,78,85,44,,203,158,72,77,64,,317,276,205,225,82,,344,689,1018,1160,172
