NHGISCODE,GJOIN1970,GJOIN1980,GJOIN1990,GJOIN2000,GJOIN2010,GJOIN2012,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,TRACTA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2012,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA125,AV0AA125M
"G4100010950100",,,"G41000109501","G4100010950100","G4100010950100","G4100010950100","Oregon","41","410","Baker County","001","0010","950100",,,"BNA 9501","Census Tract 9501","Census Tract 9501","Census Tract 9501, Baker County, Oregon",,,2495,2928,2761,2733,221
"G4100010950200",,,"G41000109502","G4100010950200","G4100010950200","G4100010950200","Oregon","41","410","Baker County","001","0010","950200",,,"BNA 9502","Census Tract 9502","Census Tract 9502","Census Tract 9502, Baker County, Oregon",,,2936,3291,3145,3170,290
"G4100010950300",,,"G41000109503","G4100010950300","G4100010950300","G4100010950300","Oregon","41","410","Baker County","001","0010","950300",,,"BNA 9503","Census Tract 9503","Census Tract 9503","Census Tract 9503, Baker County, Oregon",,,2641,2793,2648,2363,299
"G4100010950400",,,"G41000109504","G4100010950400","G4100010950400","G4100010950400","Oregon","41","410","Baker County","001","0010","950400",,,"BNA 9504","Census Tract 9504","Census Tract 9504","Census Tract 9504, Baker County, Oregon",,,2573,2858,3026,3040,232
"G4100010950500",,,"G41000109505","G4100010950500","G4100010950500","G4100010950500","Oregon","41","410","Baker County","001","0010","950500",,,"BNA 9505","Census Tract 9505","Census Tract 9505","Census Tract 9505, Baker County, Oregon",,,2568,2654,2630,3011,224
"G4100010950600",,,"G41000109506","G4100010950600","G4100010950600","G4100010950600","Oregon","41","410","Baker County","001","0010","950600",,,"BNA 9506","Census Tract 9506","Census Tract 9506","Census Tract 9506, Baker County, Oregon",,,2104,2217,1924,1775,163
"G4100010990100",,"G41000109901",,,,,"Oregon","41","410","Baker County","001","0010","990100",,"State: 41 County: 001 Tract: 9901",,,,,,4210,,,,,
"G4100010990200",,"G41000109902",,,,,"Oregon","41","410","Baker County","001","0010","990200",,"State: 41 County: 001 Tract: 9902",,,,,,3226,,,,,
"G4100010990300",,"G41000109903",,,,,"Oregon","41","410","Baker County","001","0010","990300",,"State: 41 County: 001 Tract: 9903",,,,,,2035,,,,,
"G4100030000100",,"G41000300001","G41000300001","G4100030000100","G4100030000100","G4100030000100","Oregon","41","410","Benton County","003","0030","000100",,"State: 41 County: 003 Tract: 1","Tract 1","Census Tract 1","Census Tract 1","Census Tract 1, Benton County, Oregon",,3984,4703,5424,7059,7333,463
"G4100030000200",,"G41000300002","G41000300002","G4100030000200",,,"Oregon","41","410","Benton County","003","0030","000200",,"State: 41 County: 003 Tract: 2","Tract 2","Census Tract 2",,,,1872,2082,4192,,,
"G4100030000202",,,,,"G4100030000202","G4100030000202","Oregon","41","410","Benton County","003","0030","000202",,,,,"Census Tract 2.02","Census Tract 2.02, Benton County, Oregon",,,,,5234,5014,420
"G4100030000300",,"G41000300003","G41000300003","G4100030000300",,,"Oregon","41","410","Benton County","003","0030","000300",,"State: 41 County: 003 Tract: 3","Tract 3","Census Tract 3",,,,2291,2289,3137,,,
"G4100030000400",,"G41000300004","G41000300004","G4100030000400","G4100030000400","G4100030000400","Oregon","41","410","Benton County","003","0030","000400",,"State: 41 County: 003 Tract: 4","Tract 4","Census Tract 4","Census Tract 4","Census Tract 4, Benton County, Oregon",,5379,6164,7240,7820,7748,397
"G4100030000500",,"G41000300005","G41000300005","G4100030000500","G4100030000500","G4100030000500","Oregon","41","410","Benton County","003","0030","000500",,"State: 41 County: 003 Tract: 5","Tract 5","Census Tract 5","Census Tract 5","Census Tract 5, Benton County, Oregon",,2919,3103,3135,3141,3155,286
"G4100030000600",,"G41000300006","G41000300006","G4100030000600","G4100030000600","G4100030000600","Oregon","41","410","Benton County","003","0030","000600",,"State: 41 County: 003 Tract: 6","Tract 6","Census Tract 6","Census Tract 6","Census Tract 6, Benton County, Oregon",,3205,3588,5078,4845,5292,324
"G4100030000700",,"G41000300007","G41000300007","G4100030000700",,,"Oregon","41","410","Benton County","003","0030","000700",,"State: 41 County: 003 Tract: 7","Tract 7","Census Tract 7",,,,1219,1268,1172,,,
"G4100030000800",,"G41000300008","G41000300008",,,,"Oregon","41","410","Benton County","003","0030","000800",,"State: 41 County: 003 Tract: 8","Tract 8",,,,,7841,7536,,,,
"G4100030000801",,,,"G4100030000801",,,"Oregon","41","410","Benton County","003","0030","000801",,,,"Census Tract 8.01",,,,,,3145,,,
"G4100030000802",,,,"G4100030000802",,,"Oregon","41","410","Benton County","003","0030","000802",,,,"Census Tract 8.02",,,,,,3851,,,
"G4100030000900",,"G41000300009","G41000300009","G4100030000900","G4100030000900","G4100030000900","Oregon","41","410","Benton County","003","0030","000900",,"State: 41 County: 003 Tract: 9","Tract 9","Census Tract 9","Census Tract 9","Census Tract 9, Benton County, Oregon",,4716,5057,5597,5438,5518,471
"G4100030001000",,"G41000300010","G41000300010",,,,"Oregon","41","410","Benton County","003","0030","001000",,"State: 41 County: 003 Tract: 10","Tract 10",,,,,6804,6975,,,,
"G4100030001001",,,,"G4100030001001","G4100030001001","G4100030001001","Oregon","41","410","Benton County","003","0030","001001",,,,"Census Tract 10.01","Census Tract 10.01","Census Tract 10.01, Benton County, Oregon",,,,3970,3872,4381,413
"G4100030001002",,,,"G4100030001002","G4100030001002","G4100030001002","Oregon","41","410","Benton County","003","0030","001002",,,,"Census Tract 10.02","Census Tract 10.02","Census Tract 10.02, Benton County, Oregon",,,,3172,3159,2989,297
"G4100030001100",,"G41000300011","G41000300011",,,,"Oregon","41","410","Benton County","003","0030","001100",,"State: 41 County: 003 Tract: 11","Tract 11",,,,,8775,8825,,,,
"G4100030001101",,,,"G4100030001101","G4100030001101","G4100030001101","Oregon","41","410","Benton County","003","0030","001101",,,,"Census Tract 11.01","Census Tract 11.01","Census Tract 11.01, Benton County, Oregon",,,,3298,3662,3357,409
"G4100030001102",,,,"G4100030001102","G4100030001102","G4100030001102","Oregon","41","410","Benton County","003","0030","001102",,,,"Census Tract 11.02","Census Tract 11.02","Census Tract 11.02, Benton County, Oregon",,,,4539,4519,4356,539
"G4100030010100",,"G41000300101","G41000300101","G4100030010100","G4100030010100","G4100030010100","Oregon","41","410","Benton County","003","0030","010100",,"State: 41 County: 003 Tract: 101","Tract 101","Census Tract 101","Census Tract 101","Census Tract 101, Benton County, Oregon",,5976,5767,6984,8519,8264,307
"G4100030010200",,"G41000300102","G41000300102","G4100030010200","G4100030010200","G4100030010200","Oregon","41","410","Benton County","003","0030","010200",,"State: 41 County: 003 Tract: 102","Tract 102","Census Tract 102","Census Tract 102","Census Tract 102, Benton County, Oregon",,3286,3466,3733,4090,4089,224
"G4100030010300",,"G41000300103","G41000300103","G4100030010300","G4100030010300","G4100030010300","Oregon","41","410","Benton County","003","0030","010300",,"State: 41 County: 003 Tract: 103","Tract 103","Census Tract 103","Census Tract 103","Census Tract 103, Benton County, Oregon",,3305,3303,3310,3203,3154,248
"G4100030010400",,"G41000300104","G41000300104","G4100030010400","G4100030010400","G4100030010400","Oregon","41","410","Benton County","003","0030","010400",,"State: 41 County: 003 Tract: 104","Tract 104","Census Tract 104","Census Tract 104","Census Tract 104, Benton County, Oregon",,3613,3509,3681,3808,3919,298
"G4100030010500",,"G41000300105","G41000300105","G4100030010500",,,"Oregon","41","410","Benton County","003","0030","010500",,"State: 41 County: 003 Tract: 105","Tract 105","Census Tract 105",,,,3026,3176,3495,,,
"G4100030010600",,,,,"G4100030010600","G4100030010600","Oregon","41","410","Benton County","003","0030","010600",,,,,"Census Tract 106","Census Tract 106, Benton County, Oregon",,,,,5507,5483,494
